ticker,name,sector,price,composite_score,projected_return,dividend_yield,pe,roe,revenue_growth,return_12m
CQR.AX,Charter Hall Retail REIT,Real Estate,3.86,78.2195566422664,0.2716,0.0816,6.433333,0.12665,0.371,0.12021433094093847
WAF.AX,West African Resources,Materials,3.22,75.87024315392429,0.18366459494859383,,7.8536587,0.36938998,1.764,0.3819743064577261
SOL.AX,Washington H. Soul Pattinson and Company,Financials,42.25,75.62206847823794,0.2127,0.0227,6.580997,0.20663999,1.762,0.1734863909774198
FMG.AX,Fortescue,Materials,19.78,71.79744096309284,0.22567270013116986,0.06269999999999999,11.635294,0.18691999,0.105,0.3595003689643135
ARF.AX,Arena REIT,Real Estate,3.48,70.12651386099088,0.22989769958052586,0.0553,9.157895,0.10925,0.12,0.007827553942731935
